ENG1002,Aerospace Engineering 1,500100200
ENG1003,Analogue Electronics 1,500100300
ENG1008,Architecture C1,500100800
ENG1015,Design and Manufacture 1,500101500
ENG1016,Mechanical Design 1,500101600
ENG1021,Electronic Engineering 1X,500102100
ENG1022,Electronic Engineering 1Y,500102200
ENG1026,Engineering Skills 1,500102600
ENG1027,Environmental Engineering 1,500102700
ENG1031,Introduction To Biomedical Engineering 1,500103100
ENG1033,Materials 1,500103300
ENG1061,Civil Engineering 1,500106100
ENG1062,Dynamics 1,500106200
ENG1063,Engineering Mathematics 1,500106300
ENG1064,Microelectronic Systems 1,500106400
ENG1065,Statics 1,500106500
ENG1066,Thermodynamics 1,500106600
ENG2002,Aerospace Design Project 2,500200200
ENG2004,Analogue Electronics 2,500200400
ENG2008,Architecture C2,500200800
ENG2011,Biomaterials 2,500201100
ENG2012,Biomedical Engineering Skills 2,500201200
ENG2015,Design and Manufacture 2,500201500
ENG2016,Mechanical Design 2,500201600
ENG2020,Digital Electronics 2,500202000
ENG2023,Electrical Circuits 2,500202300
ENG2025,Electronic Design Project 2,500202500
ENG2026,Electronic Devices 2,500202600
ENG2029,Embedded Processors 2,500202900
ENG2031,Engineering Electromagnetics 2,500203100
ENG2037,Introduction to Aerodynamics 2,500203700
ENG2039,Materials M2,500203900
ENG2040,Mathematics AE2V,500204000
ENG2042,Mathematics AE2X,500204200
ENG2043,Mathematics AE2Y,500204300
ENG2045,Power Electronics 2,500204500
ENG2047,Soil Mechanics 2,500204700
ENG2048,Structural Design 2,500204800
ENG2053,Thermodynamics 2,500205300
ENG2071,Structural Design Project 2,500207100
ENG2077,Engineering Skills 2,500207700
ENG2078,Environmental Processes 2,500207800
ENG2079,Civil Engineering Skills 2,500207900
ENG2080,Geology for Civil Engineers 2,500208000
ENG2081,Mechanics of Structures 2A,500208100
ENG2082,Mechanics of Structures 2B,500208200
ENG2083,Introductory Programming 2,500208300
ENG2084,Dynamics 2,500208400
ENG2085,Fluid Mechanics 2,500208500
ENG2086,Engineering Mathematics 2,500208600
ENG3001,Aerodynamics and Fluid Mechanics 3,500300100
ENG3005,Aerospace Team Design Project 3,500300500
ENG3006,Aircraft Design 3,500300600
ENG3007,Architecture C3,500300700
ENG3011,Biological Fluid Mechanics 3,500301100
ENG3014,Communication Systems 3,500301400
ENG3015,Control 3,500301500
ENG3016,Data Acquisition For Music Processing 3,500301600
ENG3017,Design And Manufacture 3,500301700
ENG3020,Digital Circuit Design 3,500302000
ENG3021,Dynamics and Control 3,500302100
ENG3022,Dynamics and Control M3,500302200
ENG3023,Electromagnetic Compatiblity 3,500302300
ENG3024,Electronic Circuit Design 3,500302400
ENG3025,Electronic Devices 3,500302500
ENG3026,Electronic System Design 3,500302600
ENG3027,Engineering Career Skills 3,500302700
ENG3028,Reliability Engineering 3,500302800
ENG3029,Engineering Mathematics EE3,500302900
ENG3030,Fluid Mechanics M3,500303000
ENG3032,Heat Transfer 3,500303200
ENG3034,Instrumentation and Data Systems 3,500303400
ENG3035,Materials and Manufacturing 3,500303500
ENG3036,Simulation of Engineering Systems 3,500303600
